shop,product_id,handle,title,variant_id,sku
rtp0h2-cv.myshopify.com,10142072865115,borastapeter-timeless-traditions-blomsterfroejd-gruen-3292,Blomsterfröjd 3292,51540547993947,2016048
rtp0h2-cv.myshopify.com,10142072996187,borastapeter-timeless-traditions-blomsterfroejd-beige-3293,Blomsterfröjd 3293,51540548059483,2016049
rtp0h2-cv.myshopify.com,10142073160027,borastapeter-timeless-traditions-blomsterfroejd-braun-3294,Blomsterfröjd 3294,51540548419931,2016050
rtp0h2-cv.myshopify.com,10142073258331,borastapeter-timeless-traditions-blomsterfroejd-beige-3295,Blomsterfröjd 3295,51540548518235,2016051
rtp0h2-cv.myshopify.com,10142141186395,borastapeter-icons-blomsterhav-2100330,Blomsterhav 2053,51540712882523,2100330
rtp0h2-cv.myshopify.com,10142101045595,borastapeter-new-heritage-blomsterhav-2053-bunt-2053,Blomsterhav 2053 2053,51540608450907,2073828
rtp0h2-cv.myshopify.com,10142141251931,borastapeter-icons-blomsterhav-2100331,Blomsterhav 2054,51540712948059,2100331
rtp0h2-cv.myshopify.com,10142101078363,borastapeter-new-heritage-blomsterhav-2054-bunt-2054,Blomsterhav 2054 2054,51540608483675,2073829
rtp0h2-cv.myshopify.com,10142141317467,borastapeter-icons-blomsterhav-2100332,Blomsterhav 2055,51540712980827,2100332
rtp0h2-cv.myshopify.com,10142101242203,borastapeter-new-heritage-blomsterhav-2055-gruen-2055,Blomsterhav 2055 2055,51540608614747,2073830
rtp0h2-cv.myshopify.com,10142093410651,borastapeter-treasured-boxes-braun-2280,Boxes 2280,51540595769691,2016237
rtp0h2-cv.myshopify.com,10142093574491,borastapeter-treasured-boxes-gruen-2281,Boxes 2281,51540595900763,2016238
rtp0h2-cv.myshopify.com,10142101766491,borastapeter-pigment-bright-white-weiss-7540,Bright White 7540,51540609237339,2077978
rtp0h2-cv.myshopify.com,10142184997211,coordonne_artisan_brush_b00207,Brush B00207N,51540845625691,2091225
rtp0h2-cv.myshopify.com,10142185128283,coordonne_artisan_brush_b00208,Brush B00208N,51540845789531,2091227
rtp0h2-cv.myshopify.com,10142185226587,coordonne_artisan_brush_b00209,Brush B00209N,51540845920603,2091229
rtp0h2-cv.myshopify.com,10142185357659,coordonne_artisan_brush_b00210,Brush B00210N,51540846018907,2091231
rtp0h2-cv.myshopify.com,10142185455963,coordonne_artisan_brush_b00211,Brush B00211N,51540846149979,2091233
rtp0h2-cv.myshopify.com,10142185554267,coordonne_artisan_brush_b00212,Brush B00212N,51540846248283,2091235
rtp0h2-cv.myshopify.com,9997800735067,burden-of-existence-v-1-led-wall-art,Burden Of Existence V.1. | Led Wall Art,50968339546459,BOEG60
rtp0h2-cv.myshopify.com,9997800735067,burden-of-existence-v-1-led-wall-art,Burden Of Existence V.1. | Led Wall Art,50968339644763,BOEG75
rtp0h2-cv.myshopify.com,9997800735067,burden-of-existence-v-1-led-wall-art,Burden Of Existence V.1. | Led Wall Art,50968339677531,BOEG90
rtp0h2-cv.myshopify.com,9997800735067,burden-of-existence-v-1-led-wall-art,Burden Of Existence V.1. | Led Wall Art,50968339710299,BOEG120
rtp0h2-cv.myshopify.com,9997800735067,burden-of-existence-v-1-led-wall-art,Burden Of Existence V.1. | Led Wall Art,50968339743067,BOEG150
rtp0h2-cv.myshopify.com,10140694610267,brand-mc-kenzie-carnival-fever-butterfly-effect-gruen-bmcf003-02a,Butterfly Effect Green Multi BMCF003/02A,51531739988315,2077669
rtp0h2-cv.myshopify.com,10140694282587,brand-mc-kenzie-carnival-fever-butterfly-effect-blau-bmcf003-02b,Butterfly Effect Navy BMCF003/02B,51531739529563,2077670
rtp0h2-cv.myshopify.com,10140694053211,brand-mc-kenzie-carnival-fever-butterfly-effect-schwarz-bmcf003-02c,Butterfly Effect Noir BMCF003/02C,51531739234651,2077671
rtp0h2-cv.myshopify.com,10140693758299,brand-mc-kenzie-carnival-fever-butterfly-effect-pink-rosa-bmcf003-02d,Butterfly Effect Pink Multi BMCF003/02D,51531738841435,2077672
rtp0h2-cv.myshopify.com,10142185652571,coordonne_artisan_calligraphy_b00232,Calligraphy B00232N,51540846313819,2091275
rtp0h2-cv.myshopify.com,10142185718107,coordonne_artisan_calligraphy_b00233,Calligraphy B00233N,51540846412123,2091277
rtp0h2-cv.myshopify.com,10142185750875,coordonne_artisan_calligraphy_b00234,Calligraphy B00234N,51540846444891,2091279
rtp0h2-cv.myshopify.com,10142185849179,coordonne_artisan_calligraphy_b00235,Calligraphy B00235N,51540846543195,2091281
rtp0h2-cv.myshopify.com,10142185914715,coordonne_artisan_calligraphy_b00236,Calligraphy B00236N,51540846608731,2091283
rtp0h2-cv.myshopify.com,10142186045787,coordonne_artisan_calligraphy_b00237,Calligraphy B00237N,51540846772571,2091285
rtp0h2-cv.myshopify.com,10142085448027,borastapeter-linen-calm-white-weiss-4301,Calm White 4301,51540583711067,2016161
rtp0h2-cv.myshopify.com,10142110122331,borastapeter-pigment-cambrian-sand-grau-7583,Cambrian Sand 7583,51540636533083,2078014
rtp0h2-cv.myshopify.com,10142139384155,borastapeter-shades-canvas-blue-2095187,Canvas Blue 6133,51540710293851,2095187
rtp0h2-cv.myshopify.com,10142139253083,borastapeter-shades-canvas-celadon-2095185,Canvas Celadon 6131,51540709900635,2095185
rtp0h2-cv.myshopify.com,10142138106203,borastapeter-shades-canvas-chrystal-2095172,Canvas Chrystal 6118,51540708753755,2095172
rtp0h2-cv.myshopify.com,10142139351387,borastapeter-shades-canvas-dusk-2095186,Canvas Dusk 6132,51540709998939,2095186
rtp0h2-cv.myshopify.com,10142139056475,borastapeter-shades-canvas-forest-2095182,Canvas Forest 6128,51540709736795,2095182
rtp0h2-cv.myshopify.com,10142138007899,borastapeter-shades-canvas-gemstone-2095171,Canvas Gemstone 6117,51540708655451,2095171
rtp0h2-cv.myshopify.com,10142138237275,borastapeter-shades-canvas-grain-2095174,Canvas Grain 6120,51540708852059,2095174
rtp0h2-cv.myshopify.com,10142138171739,borastapeter-shades-canvas-graphite-2095173,Canvas Graphite 6119,51540708786523,2095173
rtp0h2-cv.myshopify.com,10142139449691,borastapeter-shades-canvas-indigo-2095188,Canvas Indigo 6134,51540710359387,2095188
rtp0h2-cv.myshopify.com,10142137942363,borastapeter-shades-canvas-ivory-2095170,Canvas Ivory 6116,51540705870171,2095170
rtp0h2-cv.myshopify.com,10142139122011,borastapeter-shades-canvas-leaf-2095183,Canvas Leaf 6129,51540709802331,2095183
rtp0h2-cv.myshopify.com,10142138990939,borastapeter-shades-canvas-linden-2095181,Canvas Linden 6127,51540709704027,2095181
rtp0h2-cv.myshopify.com,10142139154779,borastapeter-shades-canvas-olive-2095184,Canvas Olive 6130,51540709835099,2095184
rtp0h2-cv.myshopify.com,10142138597723,borastapeter-shades-canvas-oyster-2095177,Canvas Oyster 6123,51540709179739,2095177
rtp0h2-cv.myshopify.com,10142138761563,borastapeter-shades-canvas-rose-2095179,Canvas Rose 6125,51540709572955,2095179
rtp0h2-cv.myshopify.com,10142138499419,borastapeter-shades-canvas-sepia-2095176,Canvas Sepia 6122,51540709081435,2095176
rtp0h2-cv.myshopify.com,10142137844059,borastapeter-shades-canvas-shimmer-2095169,Canvas Shimmer 6115,51540705804635,2095169
rtp0h2-cv.myshopify.com,10142138696027,borastapeter-shades-canvas-taupe-2095178,Canvas Taupe 6124,51540709507419,2095178
rtp0h2-cv.myshopify.com,10142138433883,borastapeter-shades-canvas-walnut-2095175,Canvas Walnut 6121,51540709015899,2095175
rtp0h2-cv.myshopify.com,10142138892635,borastapeter-shades-canvas-yellow-2095180,Canvas Yellow 6126,51540709671259,2095180
rtp0h2-cv.myshopify.com,10142099571035,borastapeter-new-heritage-carnation-garden-4834-gruen-4834,Carnation Garden 4834 4834,51540606878043,2073812
rtp0h2-cv.myshopify.com,10142101307739,borastapeter-new-heritage-carnation-garden-7235-grau-7235,Carnation Garden 7235 7235,51540608680283,2073831
rtp0h2-cv.myshopify.com,10140728951131,brand-mc-kenzie-carnival-fever-carnival-map-gruen-bmcf003-03a,Carnival Map Eau De Nil BMCF003/03A,51531966939483,2077673
rtp0h2-cv.myshopify.com,10140716663131,brand-mc-kenzie-carnival-fever-carnival-map-gruen-bmcf003-03b,Carnival Map Grass Green BMCF003/03B,51531892261211,2077674
rtp0h2-cv.myshopify.com,10140695069019,brand-mc-kenzie-carnival-fever-carnival-map-blau-bmcf003-03c,Carnival Map Jade BMCF003/03C,51531740578139,2077675
rtp0h2-cv.myshopify.com,10140694905179,brand-mc-kenzie-carnival-fever-carnival-map-gruen-bmcf003-03d,Carnival Map Sapphire BMCF003/03D,51531740315995,2077676
rtp0h2-cv.myshopify.com,10140729278811,brand-mc-kenzie-carnival-fever-carousel-blau-bmcf003-04a,Carousel Blue BMCF003/04A,51531967758683,2077677
rtp0h2-cv.myshopify.com,10140729147739,brand-mc-kenzie-carnival-fever-carousel-beige-bmcf003-04b,Carousel Linen BMCF003/04B,51531967463771,2077678
rtp0h2-cv.myshopify.com,10140729049435,brand-mc-kenzie-carnival-fever-carousel-pink-rosa-bmcf003-04c,Carousel Pink BMCF003/04C,51531967201627,2077679
rtp0h2-cv.myshopify.com,10140731212123,brand-mc-kenzie-heart-deco-charleston-tower-pastel-multi-rosa-bmhd002-01a,Charleston Tower Pastel Multi BMHD002/01A,51531977916763,2077134
rtp0h2-cv.myshopify.com,10140731244891,brand-mc-kenzie-heart-deco-charleston-tower-vintage-multi-beige-bmhd002-01b,Charleston Tower Vintage Multi BMHD002/01B,51531978015067,2077135
rtp0h2-cv.myshopify.com,10142141448539,borastapeter-icons-charlie-2100333,Charlie 6290,51540713079131,2100333
rtp0h2-cv.myshopify.com,10142141546843,borastapeter-icons-charlie-2100334,Charlie 6291,51540713210203,2100334
rtp0h2-cv.myshopify.com,10142102618459,borastapeter-pigment-china-white-weiss-7546,China White 7546,51540615528795,2077984
rtp0h2-cv.myshopify.com,10142118969691,borastapeter-orangeri-citrontraed-gruen-2090308,Citronträd 5701,51540668350811,2090308
rtp0h2-cv.myshopify.com,10142119035227,borastapeter-orangeri-citrontraed-weiss-2090309,Citronträd 5702,51540668416347,2090309
rtp0h2-cv.myshopify.com,10142119100763,borastapeter-orangeri-citrontraed-multicolor-2090310,Citronträd 5703,51540668449115,2090310
rtp0h2-cv.myshopify.com,10142134370651,borastapeter-blue-white-citrontraed-2093437,Citronträd 6149,51540699185499,2093437
rtp0h2-cv.myshopify.com,10142089937243,borastapeter-linen-cloudy-linen-blau-4329,Cloudy Linen 4329,51540591771995,2016189
rtp0h2-cv.myshopify.com,10142186176859,coordonne_artisan_collage_b00219,Collage B00219N,51540846870875,2091249
rtp0h2-cv.myshopify.com,10142186307931,coordonne_artisan_collage_b00220,Collage B00220N,51540847395163,2091251
rtp0h2-cv.myshopify.com,10142186406235,coordonne_artisan_collage_b00221,Collage B00221N,51540847460699,2091253
rtp0h2-cv.myshopify.com,10142186439003,coordonne_artisan_collage_b00222,Collage B00222N,51540847493467,2091255
rtp0h2-cv.myshopify.com,10142186537307,coordonne_artisan_collage_b00223,Collage B00223N,51540847591771,2091257
rtp0h2-cv.myshopify.com,10142186635611,coordonne_artisan_collage_b00224,Collage B00224N,51540847690075,2091259
rtp0h2-cv.myshopify.com,10142186701147,coordonne_artisan_collage_b00225,Collage B00225N,51540847722843,2091261
rtp0h2-cv.myshopify.com,10142105338203,borastapeter-pigment-copper-green-gruen-7557,Copper Green 7557,51540624539995,2077995
rtp0h2-cv.myshopify.com,10142112121179,borastapeter-borosan-hem-cornelia-38740,Cornelia 38740,51540649476443,2079272
rtp0h2-cv.myshopify.com,10142112153947,borastapeter-borosan-hem-cornelia-38741,Cornelia 38741,51540649509211,2079273
rtp0h2-cv.myshopify.com,10142133191003,borastapeter-graphics-cosmopolitan-2090796,Cosmopolitan 4754,51540696695131,2090796
rtp0h2-cv.myshopify.com,10142133289307,borastapeter-graphics-cosmopolitan-2090797,Cosmopolitan 4755,51540697973083,2090797
rtp0h2-cv.myshopify.com,10142133616987,borastapeter-blue-white-countryside-morning-2093430,Countryside Morning 6142,51540698530139,2093430
rtp0h2-cv.myshopify.com,10142034952539,borastapeter-falsterbo-iii-countryside-morning-grau-7677,Countryside Morning 7677,51540480491867,2015442
