product_id,handle,product_title,variant_id,variant_title,sku
10138646905179,borastapeter-scandinavian-designers-ii-bladranker-weiss-1785,Bladranker 1785,51521667924315,Default Title,2015025
10138646774107,borastapeter-scandinavian-designers-ii-bladranker-weiss-1786,Bladranker 1786,51521667760475,Default Title,2015026
10138646479195,borastapeter-scandinavian-designers-ii-bladranker-weiss-1787,Bladranker 1787,51521667367259,Default Title,2015027
10138628784475,borastapeter-orangeri-blaregn-blau-2090314,Blåregn 5707,51521635746139,Default Title,2090314
10138628653403,borastapeter-orangeri-blaregn-beige-2090315,Blåregn 5708,51521635549531,Default Title,2090315
10138628522331,borastapeter-orangeri-blaregn-gelb-2090316,Blåregn 5709,51521635385691,Default Title,2090316
10138628391259,borastapeter-orangeri-blaregn-gruen-2090317,Blåregn 5710,51521635189083,Default Title,2090317
10138628260187,borastapeter-orangeri-blaregn-blau-2090318,Blåregn 5711,51521635025243,Default Title,2090318
10138584416603,borastapeter-anno-blomslinga-braun-4517,Blomslinga 4517,51521330053467,Default Title,2015131
10138584383835,borastapeter-anno-blomslinga-gruen-4518,Blomslinga 4518,51521330020699,Default Title,2015132
10138584351067,borastapeter-anno-blomslinga-rosa-4519,Blomslinga 4519,51521329987931,Default Title,2015133
10138584318299,borastapeter-anno-blomslinga-braun-4520,Blomslinga 4520,51521329955163,Default Title,2015134
10138587169115,borastapeter-blue-white-blomslinga-2093434,Blomslinga 6146,51521336475995,Default Title,2093434
10138662601051,borastapeter-timeless-traditions-blomsterfroejd-gruen-3292,Blomsterfröjd 3292,51521709277531,Default Title,2016048
10138662502747,borastapeter-timeless-traditions-blomsterfroejd-beige-3293,Blomsterfröjd 3293,51521709179227,Default Title,2016049
10138662469979,borastapeter-timeless-traditions-blomsterfroejd-braun-3294,Blomsterfröjd 3294,51521709113691,Default Title,2016050
10138662437211,borastapeter-timeless-traditions-blomsterfroejd-beige-3295,Blomsterfröjd 3295,51521709048155,Default Title,2016051
10138603684187,borastapeter-icons-blomsterhav-2100330,Blomsterhav 2053,51521390870875,Default Title,2100330
10138610729307,borastapeter-new-heritage-blomsterhav-2053-bunt-2053,Blomsterhav 2053,51521429799259,Default Title,2073828
10138603618651,borastapeter-icons-blomsterhav-2100331,Blomsterhav 2054,51521388839259,Default Title,2100331
10138610827611,borastapeter-new-heritage-blomsterhav-2054-bunt-2054,Blomsterhav 2054,51521429930331,Default Title,2073829
10138603422043,borastapeter-icons-blomsterhav-2100332,Blomsterhav 2055,51521388609883,Default Title,2100332
10138610991451,borastapeter-new-heritage-blomsterhav-2055-gruen-2055,Blomsterhav 2055,51521430159707,Default Title,2073830
10138667975003,borastapeter-treasured-boxes-gruen-2281,Boxes,51521725464923,Default Title,2016238
10138668040539,borastapeter-treasured-boxes-braun-2280,Boxes,51521725563227,Default Title,2016237
10138638844251,borastapeter-pigment-bright-white-weiss-7540,Bright White 7540,51521655046491,Default Title,2077978
9997800735067,burden-of-existence-v-1-led-wall-art,Burden Of Existence V.1. | Led Wall Art,50968339546459,S | 40cm x 60cm / Yellow,BOEG60
9997800735067,burden-of-existence-v-1-led-wall-art,Burden Of Existence V.1. | Led Wall Art,50968339644763,M | 50cm x 75cm / Yellow,BOEG75
9997800735067,burden-of-existence-v-1-led-wall-art,Burden Of Existence V.1. | Led Wall Art,50968339677531,L | 60cm x 90cm / Yellow,BOEG90
9997800735067,burden-of-existence-v-1-led-wall-art,Burden Of Existence V.1. | Led Wall Art,50968339710299,XL | 80cm x 120cm / Yellow,BOEG120
9997800735067,burden-of-existence-v-1-led-wall-art,Burden Of Existence V.1. | Led Wall Art,50968339743067,XXL | 100cm x 150cm / Yellow,BOEG150
10140694610267,brand-mc-kenzie-carnival-fever-butterfly-effect-gruen-bmcf003-02a,Butterfly Effect Green Multi BMCF003/02A,51531739988315,Default Title,2077669
10140694282587,brand-mc-kenzie-carnival-fever-butterfly-effect-blau-bmcf003-02b,Butterfly Effect Navy BMCF003/02B,51531739529563,Default Title,2077670
10140694053211,brand-mc-kenzie-carnival-fever-butterfly-effect-schwarz-bmcf003-02c,Butterfly Effect Noir BMCF003/02C,51531739234651,Default Title,2077671
10140693758299,brand-mc-kenzie-carnival-fever-butterfly-effect-pink-rosa-bmcf003-02d,Butterfly Effect Pink Multi BMCF003/02D,51531738841435,Default Title,2077672
10138608173403,borastapeter-linen-calm-white-weiss-4301,Calm White 4301,51521425670491,Default Title,2016161
10138639040859,borastapeter-pigment-cambrian-sand-grau-7583,Cambrian Sand 7583,51521655275867,Default Title,2078014
10138654802267,borastapeter-shades-canvas-blue-2095187,Canvas Blue 6133,51521686602075,Default Title,2095187
10138654900571,borastapeter-shades-canvas-celadon-2095185,Canvas Celadon 6131,51521686864219,Default Title,2095185
10138654933339,borastapeter-shades-canvas-chrystal-2095172,Canvas Chrystal 6118,51521686929755,Default Title,2095172
10138655064411,borastapeter-shades-canvas-dusk-2095186,Canvas Dusk 6132,51521687028059,Default Title,2095186
10138655162715,borastapeter-shades-canvas-forest-2095182,Canvas Forest 6128,51521689125211,Default Title,2095182
10138655261019,borastapeter-shades-canvas-gemstone-2095171,Canvas Gemstone 6117,51521689321819,Default Title,2095171
10138655293787,borastapeter-shades-canvas-grain-2095174,Canvas Grain 6120,51521689387355,Default Title,2095174
10138655326555,borastapeter-shades-canvas-graphite-2095173,Canvas Graphite 6119,51521689452891,Default Title,2095173
10138655392091,borastapeter-shades-canvas-indigo-2095188,Canvas Indigo 6134,51521689583963,Default Title,2095188
10138655490395,borastapeter-shades-canvas-ivory-2095170,Canvas Ivory 6116,51521689747803,Default Title,2095170
10138655523163,borastapeter-shades-canvas-leaf-2095183,Canvas Leaf 6129,51521689846107,Default Title,2095183
10138655555931,borastapeter-shades-canvas-linden-2095181,Canvas Linden 6127,51521689911643,Default Title,2095181
